ADC Channel - Charge distribution	Sr90 decentrato	
31602.5	359	
31667.5	325	
31732.5	328	
31797.5	319	
31862.5	316	
31927.5	301	
31992.5	300	
32057.5	271	
32122.5	295	
32187.5	264	
32252.5	259	
32317.5	230	
32382.5	243	
32447.5	232	
32512.5	194	
32577.5	200	
32642.5	217	
32707.5	210	
32772.5	213	
32837.5	175	
32902.5	183	
32967.5	181	
33032.5	169	
33097.5	172	
33162.5	149	
33227.5	148	
33292.5	149	
33357.5	155	
33422.5	160	
33487.5	137	
33552.5	124	
33617.5	105	
33682.5	119	
33747.5	107	
33812.5	108	
33877.5	113	
33942.5	78	
34007.5	97	
34072.5	104	
34137.5	106	
34202.5	77	
34267.5	84	
34332.5	80	
34397.5	89	
34462.5	72	
34527.5	62	
34592.5	81	
34657.5	62	
34722.5	52	
34787.5	61	
34852.5	45	
34917.5	52	
34982.5	41	
35047.5	50	
35112.5	34	
35177.5	46	
35242.5	40	
35307.5	41	
35372.5	40	
35437.5	36	
35502.5	36	
35567.5	30	
35632.5	26	
35697.5	26	
35762.5	28	
35827.5	24	
35892.5	26	
35957.5	27	
36022.5	19	
36087.5	19	
36152.5	17	
36217.5	20	
36282.5	28	
36347.5	19	
36412.5	22	
36477.5	17	
36542.5	18	
36607.5	12	
36672.5	13	
36737.5	18	
36802.5	17	
36867.5	10	
36932.5	14	
36997.5	8	
37062.5	11	
37127.5	9	
37192.5	8	
37257.5	12	
37322.5	7	
37387.5	6	
37452.5	13	
37517.5	4	
37582.5	4	
37647.5	6	
37712.5	2	
37777.5	5	
37842.5	8	
37907.5	2	
37972.5	8	
38037.5	5	
38102.5	6	
38167.5	3	
38232.5	5	
38297.5	3	
38362.5	4	
38427.5	1	
38492.5	3	
38557.5	2	
38622.5	1	
38687.5	5	
38752.5	5	
38817.5	2	
38882.5	4	
38947.5	0	
39012.5	1	
39077.5	2	
39142.5	2	
39207.5	2	
39272.5	3	
39337.5	4	
39402.5	3	
39467.5	4	
39532.5	2	
39597.5	4	
39662.5	1	
39727.5	2	
39792.5	6	
39857.5	2	
39922.5	0	
39987.5	1	
40052.5	2	
40117.5	1	
40182.5	1	
40247.5	0	
40312.5	1	
40377.5	1	
40442.5	1	
40507.5	3	
40572.5	1	
40637.5	2	
40702.5	5	
40767.5	3	
40832.5	3	
40897.5	4	
40962.5	0	
41027.5	0	
41092.5	1	
41157.5	2	
41222.5	1	
41287.5	1	
41352.5	1	
41417.5	1	
41482.5	2	
41547.5	0	
41612.5	1	
41677.5	0	
41742.5	1	
41807.5	3	
41872.5	1	
41937.5	2	
42002.5	0	
42067.5	1	
42132.5	1	
42197.5	1	
42262.5	1	
42327.5	0	
42392.5	1	
42457.5	2	
42522.5	0	
42587.5	0	
42652.5	0	
42717.5	2	
42782.5	1	
42847.5	2	
42912.5	2	
42977.5	1	
43042.5	0	
43107.5	1	
43172.5	0	
43237.5	3	
43302.5	1	
43367.5	1	
43432.5	1	
43497.5	0	
43562.5	1	
43627.5	1	
43692.5	1	
43757.5	0	
43822.5	0	
43887.5	0	
43952.5	1	
44017.5	2	
44082.5	1	
44147.5	2	
44212.5	1	
44277.5	0	
44342.5	3	
44407.5	0	
44472.5	0	
44537.5	0	
44602.5	0	
44667.5	2	
44732.5	1	
44797.5	1	
44862.5	1	
44927.5	0	
44992.5	1	
45057.5	0	
45122.5	2	
45187.5	2	
45252.5	2	
45317.5	1	
45382.5	1	
45447.5	0	
45512.5	2	
45577.5	0	
45642.5	0	
45707.5	0	
45772.5	1	
45837.5	0	
45902.5	0	
45967.5	0	
46032.5	0	
46097.5	1	
46162.5	1	
46227.5	3	
46292.5	1	
46357.5	1	
46422.5	2	
46487.5	1	
46552.5	1	
46617.5	1	
46682.5	0	
46747.5	0	
46812.5	1	
46877.5	0	
46942.5	0	
47007.5	1	
47072.5	0	
47137.5	1	
47202.5	1	
47267.5	0	
47332.5	0	
47397.5	1	
47462.5	1	
