ADC Channel - Charge distribution Sr90 CENTRATO	
41157.5	2566	
41222.5	2433	
41287.5	2553	
41352.5	2483	
41417.5	2520	
41482.5	2530	
41547.5	2476	
41612.5	2423	
41677.5	2408	
41742.5	2441	
41807.5	2331	
41872.5	2336	
41937.5	2357	
42002.5	2188	
42067.5	2306	
42132.5	2281	
42197.5	2334	
42262.5	2186	
42327.5	2125	
42392.5	2076	
42457.5	2058	
42522.5	2078	
42587.5	2059	
42652.5	2069	
42717.5	2094	
42782.5	1957	
42847.5	2063	
42912.5	1933	
42977.5	1905	
43042.5	1972	
43107.5	1960	
43172.5	1864	
43237.5	1907	
43302.5	1922	
43367.5	1792	
43432.5	1817	
43497.5	1800	
43562.5	1747	
43627.5	1699	
43692.5	1720	
43757.5	1640	
43822.5	1645	
43887.5	1637	
43952.5	1624	
44017.5	1538	
44082.5	1535	
44147.5	1531	
44212.5	1472	
44277.5	1503	
44342.5	1485	
44407.5	1469	
44472.5	1451	
44537.5	1397	
44602.5	1372	
44667.5	1327	
44732.5	1338	
44797.5	1366	
44862.5	1344	
44927.5	1268	
44992.5	1240	
45057.5	1241	
45122.5	1264	
45187.5	1244	
45252.5	1231	
45317.5	1151	
45382.5	1140	
45447.5	1112	
45512.5	1068	
45577.5	1087	
45642.5	1060	
45707.5	1074	
45772.5	1019	
45837.5	980	
45902.5	989	
45967.5	938	
46032.5	930	
46097.5	894	
46162.5	917	
46227.5	866	
46292.5	853	
46357.5	868	
46422.5	825	
46487.5	818	
46552.5	757	
46617.5	796	
46682.5	778	
46747.5	739	
46812.5	709	
46877.5	719	
46942.5	703	
47007.5	690	
47072.5	629	
47137.5	659	
47202.5	648	
47267.5	610	
47332.5	581	
47397.5	593	
47462.5	560	
47527.5	573	
47592.5	536	
47657.5	566	
47722.5	496	
47787.5	503	
47852.5	447	
47917.5	462	
47982.5	434	
48047.5	467	
48112.5	448	
48177.5	446	
48242.5	463	
48307.5	455	
48372.5	426	
48437.5	400	
48502.5	347	
48567.5	365	
48632.5	341	
48697.5	345	
48762.5	353	
48827.5	315	
48892.5	319	
48957.5	330	
49022.5	302	
49087.5	264	
49152.5	307	
49217.5	262	
49282.5	292	
49347.5	259	
49412.5	246	
49477.5	233	
49542.5	223	
49607.5	233	
49672.5	245	
49737.5	232	
49802.5	237	
49867.5	165	
49932.5	196	
49997.5	209	
50062.5	213	
50127.5	179	
50192.5	208	
50257.5	195	
50322.5	140	
50387.5	156	
50452.5	173	
50517.5	176	
50582.5	152	
50647.5	140	
50712.5	125	
50777.5	121	
50842.5	94	
50907.5	121	
50972.5	123	
51037.5	110	
51102.5	103	
51167.5	93	
51232.5	74	
51297.5	103	
51362.5	106	
51427.5	83	
51492.5	80	
51557.5	82	
51622.5	65	
51687.5	72	
51752.5	71	
51817.5	63	
51882.5	62	
51947.5	52	
52012.5	59	
52077.5	54	
52142.5	54	
52207.5	63	
52272.5	60	
52337.5	46	
52402.5	47	
52467.5	46	
52532.5	45	
52597.5	38	
52662.5	40	
52727.5	40	
52792.5	37	
52857.5	46	
52922.5	35	
52987.5	30	
53052.5	30	
53117.5	40	
53182.5	21	
53247.5	19	
53312.5	22	
53377.5	17	
53442.5	19	
53507.5	18	
53572.5	25	
53637.5	18	
53702.5	23	
53767.5	17	
53832.5	21	
53897.5	24	
53962.5	13	
54027.5	15	
54092.5	7	
54157.5	13	
54222.5	11	
54287.5	15	
54352.5	10	
54417.5	10	
54482.5	10	
54547.5	5	
54612.5	6	
54677.5	6	
54742.5	6	
54807.5	7	
54872.5	4	
54937.5	8	
55002.5	12	
55067.5	7	
55132.5	3	
55197.5	4	
55262.5	3	
55327.5	6	
55392.5	5	
55457.5	4	
55522.5	8	
55587.5	3	
55652.5	6	
55717.5	3	
55782.5	2	
55847.5	7	
55912.5	4	
55977.5	2	
56042.5	2	
56107.5	2	
56172.5	3	
56237.5	1	
56302.5	3	
56367.5	0	
56432.5	0	
56497.5	2	
56562.5	1	
56627.5	2	
56692.5	1	
56757.5	1	
56822.5	3	
56887.5	2	
56952.5	2	
57017.5	1	
57082.5	1	
57147.5	0	
57212.5	0	
57277.5	0	
57342.5	0	
57407.5	2	
57472.5	0	
57537.5	0	
57602.5	3	
57667.5	2	
57732.5	0	
57797.5	0	
57862.5	1	
57927.5	2	
57992.5	3	
58057.5	0	
58122.5	1	
58187.5	1	
58252.5	1	
58317.5	0	
58382.5	1	
58447.5	0	
58512.5	0	
58577.5	0	
58642.5	0	
58707.5	1	
58772.5	0	
58837.5	0	
58902.5	0	
58967.5	0	
59032.5	1	
59097.5	0	
59162.5	1	
59227.5	0	
59292.5	1	
